title, author, rating, format, price, year
Secret Thoughts: a medical thriller (A Dr. Powers Mystery),H.S. Clark,3.8 out of 5 stars, ,0.00,2013
THE WINTER MYSTERY an absolutely gripping whodunit full of twists,,4.1 out of 5 stars, ,0.00,2018
The Girl Who Lived: A Thrilling Suspense Novel,Christopher Greyson,4.4 out of 5 stars, ,13.99,2017
The Beautiful Mystery: A Chief Inspector Gamache Novel,Louise Penny,4.5 out of 5 stars, ,17.62,2013
A Dead End (A Saints & Strangers Cozy Mystery Book 1),Keeley Bates,4.3 out of 5 stars, ,0.00,2015
Long Road to Mercy (An Atlee Pine Thriller),David Baldacci,4.0 out of 5 stars, ,14.99,2018
The Fallen (Memory Man series Book 4),David Baldacci,4.6 out of 5 stars, ,9.99,2018
THE WINTER MYSTERY an absolutely gripping whodunit full of twists,,4.1 out of 5 stars, ,0.00,2018
Once Gone (a Riley Paige Mystery--Book #1),Blake Pierce,4.3 out of 5 stars, ,7.01,2017
Origin: A Novel (Robert Langdon),Dan Brown,4.2 out of 5 stars, ,7.99,2017
Murder In The Dark: a gripping crime mystery full of twists,Betsy Reavley,4.0 out of 5 stars, ,0.00,2018
Her Final Breath Boxset: A Riveting Mystery Series,J.S Donovan,3.7 out of 5 stars, ,0.00,2019
If She Knew (A Kate Wise Mystery—Book 1),Blake Pierce,4.3 out of 5 stars, ,0.00,2018
All Eyes on Me (A Miranda and Parker Mystery Book 1),Linsey Lanier,4.3 out of 5 stars, ,0.00,2014
The President Is Missing: A Novel,James Patterson,4.3 out of 5 stars, ,14.99,2018
Loose Ends: A Private Investigator Crime and Suspense Mystery Thriller (California Corwin P. I. Mystery Series Book 1),D. D. VanDyke,4.0 out of 5 stars, ,0.00,2014
THE CASTLE MYSTERY an absolutely gripping whodunit full of twists,,4.4 out of 5 stars, ,0.00,2019
The Other Woman: A Novel,Daniel Silva,4.4 out of 5 stars, ,11.99,2018
From Garden To Grave (The Leafy Hollow Mysteries Book 1),Rickie Blair,4.5 out of 5 stars, ,0.00,2017
Swamp Spook (A Miss Fortune Mystery Book 13),Jana DeLeon,4.9 out of 5 stars, ,5.99,2018
My Sister's Fear (A Slater Mystery Book 2),T.J. Jones,5.0 out of 5 stars, ,0.00,2019
Mind Your Manors (A Flamingo Realty Mystery Book 1),CeeCee James,4.5 out of 5 stars, ,0.00,2018
Mind Your Manors (A Flamingo Realty Mystery Book 1),CeeCee James,4.5 out of 5 stars, ,0.00,2018
Her Final Breath Boxset: A Riveting Mystery Series,J.S Donovan,3.7 out of 5 stars, ,0.00,2019
The Midnight Line: A Jack Reacher Novel,Lee Child,4.3 out of 5 stars, ,9.99,2017
Sing Roses For Me (Max Allen Book 1),Ben Marney,4.6 out of 5 stars, ,0.00,2017
How to Bake a Murder (A Cookie and Cream Cozy Mystery Book 1),K.J. Emrick,4.5 out of 5 stars, ,0.00,2016
The Killer Collective,Barry Eisler,4.3 out of 5 stars, ,0.00,2019
An Innocent Client (Joe Dillard Series Book 1),Scott Pratt,4.5 out of 5 stars, ,0.00,2013
Dead Reckoning (The Still Waters Suspense Series Book 1),Dawn Lee McKenna,4.5 out of 5 stars, ,0.00,2017
Due Process (Joe Dillard Series Book 9),Scott Pratt,4.7 out of 5 stars, ,0.00,2018
Sign Off (Caught Dead in Wyoming mystery series~ Book 1),Patricia McLinn,4.3 out of 5 stars, ,0.00,2015
Deep is the Chesapeake (A Bergeron Mystery),M.G. Lewis,5.0 out of 5 stars, ,0.00,2018
Rosie's Revenge (A Rosie's Family Mystery Book 1),,4.5 out of 5 stars, ,0.00,2014
Artifacts of Death (Manny Rivera Mystery Series Book 1),Rich Curtin,4.6 out of 5 stars, ,0.00,2011
Lady Rample Steps Out (Lady Rample Mysteries Book 1),Shéa MacLeod,4.1 out of 5 stars, ,3.99,2017
Dark Return: A Leine Basso Thriller,D.V. Berkom,4.8 out of 5 stars, ,0.00,2018
The Silent Corner: A Novel of Suspense (Jane Hawk Book 1),Dean Koontz,4.3 out of 5 stars, ,5.99,2017
Murder in the South of France (The Maggie Newberry Mystery Series Book 1),Susan Kiernan-Lewis,3.7 out of 5 stars, ,0.00,2014
The Northminster Mysteries Box Set 1: Books 1-3 (The Northminster Mysteries Box Sets),Harriet Smart,3.9 out of 5 stars, ,0.00,2018
Last Call: A twisty~ fun PI Mystery (The Janet Black Mystery Series Book 1),Libby Kirsch,4.4 out of 5 stars, ,0.00,2018
Deadly Secrets: A Mapleton Mystery,Terry Odell,4.4 out of 5 stars, ,0.00,2011
The McHenry Inheritance (Quill Gordon Mystery Book 1),Michael Wallace,4.1 out of 5 stars, ,0.00,2012
THE WINTER MYSTERY an absolutely gripping whodunit full of twists,,4.1 out of 5 stars, ,0.00,2018
Mind Your Manors (A Flamingo Realty Mystery Book 1),CeeCee James,4.5 out of 5 stars, ,0.00,2018
Her Final Breath Boxset: A Riveting Mystery Series,J.S Donovan,3.7 out of 5 stars, ,0.00,2019
Deadly Secrets: A Mapleton Mystery,Terry Odell,4.4 out of 5 stars, ,0.00,2011
Brownies & Betrayal (Sweet Bites Mysteries~ Book 1),Heather Justesen,4.4 out of 5 stars, ,0.00,2012
Deadly Stillwater: A compelling crime thriller (Mac McRyan Mystery Series Book),Roger Stelljes,4.4 out of 5 stars, ,0.00,2014
Before he Kills (A Mackenzie White Mystery—Book 1),Blake Pierce,4.4 out of 5 stars, ,0.00,2016
Bed and Breakfast and Murder (Fiona Fleming Cozy Mysteries Book 1),Patti Larsen,4.3 out of 5 stars, ,0.00,2017
The Affair of the Hideous Vase: A Short Silly Cozy Mystery,B.T. Alive,4.5 out of 5 stars, ,0.00,2019
Winter's Secret: Clean Wholesome Mystery and Romance (Northern Intrigue Book 1),Lyn Cote,4.4 out of 5 stars, ,0.00,2013
Silent Crime (Hangman Book 1),WL Knightly,4.1 out of 5 stars, ,0.00,2019
Rosie's Revenge (A Rosie's Family Mystery Book 1),,4.5 out of 5 stars, ,0.00,2014
Murder In The Dark: a gripping crime mystery full of twists,Betsy Reavley,4.0 out of 5 stars, ,0.00,2018
Honeymoon Cottage (A Pajaro Bay Mystery Book 1),Barbara Cool Lee,4.4 out of 5 stars, ,0.00,2015
Total Control,David Baldacci,4.5 out of 5 stars, ,7.99,2002
Death of a Dapper Snowman (Stormy Day Mystery Book 1),Angela Pepper,4.3 out of 5 stars, ,0.00,2017
Miss Spelled (The Kitchen Witch Book 1): Witch Cozy Mystery Series,Morgana Best,4.3 out of 5 stars, ,0.00,2015
Kayla Michelle Three-Book Cozy Mystery Set,Kayla Michelle,4.6 out of 5 stars, ,0.00,2019
Death of a Celebrity (Book 1 of a Harriet Rose Cozy Murder Mystery Series) (Harriet Rose Humorous Cozy Murder Mysteries),Eleanor Calder,4.0 out of 5 stars, ,0.00,2015
Cold Lake (David Wolf Book 5),Jeff Carson,4.5 out of 5 stars, ,0.00,2014
Gone Daddy Gone (Sloane Monroe Book 7),Cheryl Bradshaw,4.6 out of 5 stars, ,0.00,2017
The McHenry Inheritance (Quill Gordon Mystery Book 1),Michael Wallace,4.1 out of 5 stars, ,0.00,2012
THE WINTER MYSTERY an absolutely gripping whodunit full of twists,,4.1 out of 5 stars, ,0.00,2018
Mind Your Manors (A Flamingo Realty Mystery Book 1),CeeCee James,4.5 out of 5 stars, ,0.00,2018
Her Final Breath Boxset: A Riveting Mystery Series,J.S Donovan,3.7 out of 5 stars, ,0.00,2019
Something Read Something Dead: A Lighthouse Library Mystery,Eva Gates,4.4 out of 5 stars, ,10.49,2019
Big Numbers (Austin Carr Mystery Book 1),Jack Getze,4.2 out of 5 stars, ,0.00,2013
Maggie for Hire (Maggie MacKay Magical Tracker Book 1),Kate Danley,4.3 out of 5 stars, ,0.00,2013
Greed: An Amber Monroe Crime Thriller Book 1,C.M. Sutter,4.2 out of 5 stars, ,0.00,2018
A to Z Mysteries (26 Book Set),Ron Roy,4.7 out of 5 stars, ,82.11,2006
THE RIVERBOAT MYSTERY an absolutely gripping whodunit full of twists,,4.3 out of 5 stars, ,0.00,2019
