title, author, rating, format, price, year
Duck for Cover (Nuclear Survival: Northern Exposure Book 2),Harley Tate,5.0 out of 5 stars, ,0.00,2019
STILL I WILL FOLLOW (A Miller's Creek Novel Book 7),Cathy Bryant,4.9 out of 5 stars, ,0.00,2017
My Time,Bradley Bleckwehl,, ,0.00,2019
Take Care of You (Taking Care Book 1),Gianni Holmes,4.4 out of 5 stars, ,0.00,2019
Meant for Me (The Carlyle Women Book 1),Lyn Cote,4.3 out of 5 stars, ,0.00,2018
The Alice Network: A Novel,Kate Quinn,4.7 out of 5 stars, ,11.99,2017
The One,John Marrs,4.3 out of 5 stars, ,0.00,2018
The Haunting of Abram Mansion: A Riveting Haunted House Mystery,Alexandria Clarke,4.4 out of 5 stars, ,0.00,2019
The Letter: A captivating story of forbidden love, secrets, and sacrifice.,Ruth Saberton,4.7 out of 5 stars, ,0.00,2017
Origin: A Children of the Spear Novella,Rhett Gervais,4.6 out of 5 stars, ,0.00,2019
I Still Love Me Some Him (I Love Me Some Him Book 2),Ash Ley,4.1 out of 5 stars, ,0.00,2019
Shattered Star,Tiffany Forbes,5.0 out of 5 stars, ,0.00,2019
The Year's Best Science Fiction and Fantasy Volume 13,Jonathan Strahan,, ,13.38,2019
Before We Were Yours: A Novel,Lisa Wingate,4.7 out of 5 stars, ,12.99,2017
The Aliomenti Saga Box Set (Books 1-3),Alex Albrinck,4.1 out of 5 stars, ,0.00,2013
Choices,Lyn Gardner,4.9 out of 5 stars, ,7.99,2019
The Defender of Rebel Falls: A Medieval Science Fiction Adventure (The William Whitehall Adventures Book 1),Erik Christensen,4.6 out of 5 stars, ,0.00,2017
Five Fathoms Beneath,J.R. Alcyone,5.0 out of 5 stars, ,0.00,2018
More Than One Truth,,4.7 out of 5 stars, ,2.99,2018
Five Fathoms Beneath,J.R. Alcyone,5.0 out of 5 stars, ,0.00,2018
A SLAVE'S SONG,Michael Edwin Q.,4.3 out of 5 stars, ,0.00,2016
The Watchmaker's Daughter (Glass and Steele Book 1),C.J. Archer,4.3 out of 5 stars, ,0.00,2016
Magic After Dark: 7 Books Full of Adventure and Romance Featuring Werewolves, Demons, Vampires, and Angels in the Modern World,Aimee Easterling,4.8 out of 5 stars, ,0.00,2019
