title, author, rating, format, price, year
Devotions For Dating Couples: Building A Foundation For Spiritual Intimacy,Ben Young,4.4 out of 5 stars, ,12.05,2002
Dating and the Single Parent: * Are You Ready to Date?  * Talking With the Kids   * Avoiding a Big Mistake  * Finding Lasting Love,Ron L. Deal,4.5 out of 5 stars, ,11.59,2012
Understanding Men: Know What He's Really Thinking~ Show Him You're The One~  Why Men Pull Away~ Why He's Afraid To Commit &  How To Read Him Like A Book (Relationship and Dating Advice for Women 1),Alex Altman,3.9 out of 5 stars, ,0.00,2015
Dr. R. A. Vernon's Ten Rules Of Dating: In The Social Media Age,,5.0 out of 5 stars, ,9.99,2018
Dating: On the Rebound: Eastridge Heights Basketball Players Book 2,Stephanie Street,4.6 out of 5 stars, ,0.00,2019
Texts So Good He Can't Ignore: Sassy Texting Secrets for Attracting High-Quality Men (and Keeping the One You Want),Bruce Bryans,4.3 out of 5 stars, ,0.00,2018
He-Motions: Even Strong Men Struggle,T. D. Jakes,4.6 out of 5 stars, ,12.99,2004
Shiftr: Swipe Left for Love (Niall): BBW Bear Shifter Romance (Hope Valley BBW Dating App Romance Book 14),Ariana Hawkes,4.9 out of 5 stars, ,0.00,2019
Paranormal Dating Agency Volume 2 (BBW Paranormal Shape Shifter Romance),Milly Taiden,4.8 out of 5 stars, ,0.00,2015
The Winning Dating Formula For Women Over 50: 7 Steps To Attracting Quality Men,Lisa Copeland,4.0 out of 5 stars, ,0.00,2013
Not Yet Married: The Pursuit of Joy in Singleness and Dating,Marshall Segal,4.4 out of 5 stars, ,11.26,2017
Winter Takes All (Paranormal Dating Agency Book 19),Milly Taiden,4.7 out of 5 stars, ,0.00,2019
Dating-ish (Knitting in the City Book 6),Penny Reid,4.7 out of 5 stars, ,5.99,2017
I Kissed Dating Goodbye,Joshua Harris,4.4 out of 5 stars, ,7.13,2003
No More Mr. Nice Guy,,4.5 out of 5 stars, ,9.99,2010
To Date a Man~ You Must Understand a Man: The Keys to Catch a Great Guy (Relationship and Dating Advice for Women Book 7),Gregg Michaelsen,4.6 out of 5 stars, ,5.49,2014
Seduction Simplified: How to Build an Attractive Personality Through Personal Development to Attract Women,German Muhlenberg,4.8 out of 5 stars, ,0.00,2017
What To Say When You Talk To Your Self,Shad Helmstetter,4.6 out of 5 stars, ,2.99,2011
He-Motions: Even Strong Men Struggle,T. D. Jakes,4.6 out of 5 stars, ,12.99,2004
Red Flags: A Girl's Guide to Dating (1),,, ,0.00,2019
Piece of Tail: BBW Paranormal Shape Shifter Romance (Paranormal Dating Agency Book 13),Milly Taiden,4.7 out of 5 stars, ,0.00,2017
Conversation Casanova: How to Effortlessly Start Conversations and Flirt Like a Pro,David  Perrotta,4.6 out of 5 stars, ,0.00,2016
Together With Christ: A Dating Couples Devotional: 52 Devotions and Bible Studies to Nurture Your Relationship,Chelsea Damon,4.4 out of 5 stars, ,12.74,2018
Caught Looking (Dating Mr. Baseball Book 2),Lucy McConnell,4.7 out of 5 stars, ,0.00,2018
Everybody~ Always: Becoming Love in a World Full of Setbacks and Difficult People,Bob Goff,4.9 out of 5 stars, ,11.55,2018
Dating in the Dark: An Enemies to Lovers Trilogy (Dating Series Book 1),Alexandria Bishop,4.2 out of 5 stars, ,0.00,2018
Dating the Divorced Man: Sort Through the Baggage to Decide if He's Right for You,Christie Hartman,4.5 out of 5 stars, ,9.99,2014
Texts So Good He Can't Ignore: Sassy Texting Secrets for Attracting High-Quality Men (and Keeping the One You Want),Bruce Bryans,4.3 out of 5 stars, ,0.00,2018
Never Mind the Rules: The Alternative Dating Guide for Girls Who Wanna Rock!,Susan Hyatt,4.8 out of 5 stars, ,0.00,2017
Dating My Friend's Daughter,Penny Wylder,4.5 out of 5 stars, ,0.00,2017
Seduction Simplified: How to Build an Attractive Personality Through Personal Development to Attract Women,German Muhlenberg,4.8 out of 5 stars, ,0.00,2017
The Dating Dare,A.R. Perry,4.0 out of 5 stars, ,0.00,2018
The 5 Love Languages Singles Edition: The Secret That Will Revolutionize Your Relationships,Gary Chapman,4.8 out of 5 stars, ,8.63,2017
Scrooge Me Again: Paranormal Shifter Holiday Romance (Paranormal Dating Agency Book 18),Milly Taiden,4.4 out of 5 stars, ,0.00,2018
Not Quite Dating,Catherine Bybee,4.4 out of 5 stars, ,0.00,2012
Dietrich (Bear Shifter Dating Agency Romance) (Bear Dating Agency Book 1),Becca Fanning,4.3 out of 5 stars, ,0.00,2016
The Art of Dating,Ellie Messe,4.9 out of 5 stars, ,0.00,2018
To Date a Man~ You Must Understand a Man: The Keys to Catch a Great Guy (Relationship and Dating Advice for Women Book 7),Gregg Michaelsen,4.6 out of 5 stars, ,5.49,2014
Seduction Simplified: How to Build an Attractive Personality Through Personal Development to Attract Women,German Muhlenberg,4.8 out of 5 stars, ,0.00,2017
What To Say When You Talk To Your Self,Shad Helmstetter,4.6 out of 5 stars, ,2.99,2011
He-Motions: Even Strong Men Struggle,T. D. Jakes,4.6 out of 5 stars, ,12.99,2004
Oh~ Bite Me: Paranormal Dating Agency (Guardians of the Deep),Chris Genovese,4.9 out of 5 stars, ,0.00,2018
Her Cougar Sunrise: Paranormal Dating Agency,Moxie  North,4.8 out of 5 stars, ,0.00,2018
Dating and Sex: A Guide for the 21st Century Teen Boy,,4.4 out of 5 stars, ,15.24,2016
